Title,Type,Price,Rating,Reviews,Sold
Disco sólido interno Kingston SA400S37/960G SATA 960GB negro,Disco,104999,"4,9",2876,10000
Disco sólido interno Kingston SA400S37/960G SATA 960GB negro,Disco,104999,"4,9",2876,10000
Motherboard Gigabyte Amd A520m K V2 Ddr4 Gamer Color Negro,Placa Madre,90499,"4,8",214,1000
Gabinete Gamer Sentey H10 Lateral Frente Transparente White Color Blanco,Gabinete,61999,"4,8",33,100
Placa de video Nvidia MSI Ventus GeForce RTX 30 Series RTX 3060 VENTUS 2X 12G OC OC Edition 12GB Gddr6,Placa de Video,429909,"4,9",166,1000
Level Up Hercules Gabinete Gamer Vidrio Templado X4 Fan Rgb Color Blanco,Gabinete,149900,"4,8",357,1000
Tarjeta Madre Asus Rog B550-f Gaming (wi-fi) Ii Socket Am4,Placa Madre,333999,"4,7",109,500
Placa de video AMD Sentey Radeon RX 550 4GB GDRR5 6000mhz,Placa de Video,106999,"4,7",368,1000
Placa de video AMD Sentey Radeon RX 550 4GB GDRR5 6000mhz,Placa de Video,106999,"4,7",368,1000
Memoria RAM Fury Beast DDR4 gamer color negro 8GB 1 Kingston KF432C16BB/8,RAM,31599,"4,9",8219,50000
Adaptador Usb 3.0 A Sata 2.5 Discos Rigidos Y Grabadoras Color Negro,Disco,6120,"4,7",904,10000
Placa Madre Gigabyte B550m K Pcie 4.0 Color Negro,Placa Madre,130999,"4,9",38,100
Carry Disk Case Usb 3.0 Sata 2.5 Notebook Disco Sdd / Hdd,Disco,8999,"4,6",182,1000
Placa de video Nvidia MSI  Ventus 2X GeForce RTX 40 Series RTX 4060 GeForce RTX 4060 VENTUS 2X BLACK 8G OC Black OC Edition 8GB,Placa de Video,596429,"5,0",55,100
Placa de video Nvidia MSI  Ventus 2X GeForce RTX 40 Series RTX 4060 GeForce RTX 4060 VENTUS 2X BLACK 8G OC Black OC Edition 8GB,Placa de Video,687819,"5,0",55,100
Motherboard Asus Prime A520m-k Amd Ryzen 3ra Gen Gamer M.2,Placa Madre,157845,"4,7",211,1000
Pasta Térmica Arctic Mx-6 4gr Rendimiento Extremo !,Pasta Térmica,13485,"4,7",312,1000
Disco Kingston sólido  SA400S37/480G SATA III 480GB Negro,Disco,67499,"4,9",24811,250000
Disco Kingston sólido  SA400S37/480G SATA III 480GB Negro,Disco,67499,"4,9",24811,250000
Gabinete Gamer Rgb Haxly E910 Usb 3.0 Vidrio Templado Atx Color Negro,Gabinete,72649,"4,8",39,100
Nvidia MSI GeForce 210 1GB,Otro,43999,"4,6",677,10000
Motherboard Asus Prime A520m-a Ii Csm Amd Ryzen 5ta Gen M.2 Color Negro,Placa Madre,110900,"4,7",251,1000
Motherboard Asus Prime A520m-a Ii Csm Amd Ryzen 5ta Gen M.2 Color Negro,Placa Madre,110900,"4,7",251,1000
Capturadora De Video Hdmi Full Hd Gran Calidad 1080p 30hz,Otro,10355,"4,7",232,1000
Capturadora De Video Hdmi Full Hd Gran Calidad 1080p 30hz,Otro,10355,"4,7",232,1000
Cooler Cpu Id-cooling Se-903-xt Intel Amd Pwm Led Random Led Random Spectrum,Cooler,19000,"4,8",397,1000
Gabinete Gamer Brainstorm Mastra Series 4 Fan Rgb Color Negro Mid Tower,Gabinete,149999,"4,8",37,1000
Gabinete Gamer Brainstorm Mastra Series 4 Fan Rgb Color Negro Mid Tower,Gabinete,149999,"4,8",37,1000
Motherboard Gigabyte B650m Ds3h Box Am5,Placa Madre,232508,"4,9",14,100
Motherboard Gigabyte B650m Ds3h Box Am5,Placa Madre,232508,"4,9",14,100
Tarjeta De Video Msi Geforce Rtx 3050 Ventus 2x Xs Oc 8gb Gddr6,Placa de Video,360599,"4,9",58,100
Memoria Ddr3 8gb 1600 Mhz Hiksemi Udimm Hiker Hsc308u16z1,Otro,19232,"4,8",878,10000
